"","date","year","quarter","e","u","i","eu","ei","ue","ui","ie","iu","ee","ue_s","eu_s","ei_s","ui_s","ie_s","iu_s"
"1",1995 Q4,1995,4,0.70925742,0.036316812,0.25438294,0.013021708,0.022989135,0.28038171,0.22662881,0.055544689,0.033693518,0.030020837,0.337780313450984,0.0187840921889592,0.0219983121736994,0.297204731820482,0.050254122139502,0.0512944388183038
"2",1996 Q1,1996,1,0.70731533,0.037823353,0.25500321,0.013827506,0.023214515,0.27871943,0.22455099,0.056643955,0.034255154,0.028516322,0.335341309362337,0.0199097754389358,0.0221487281920487,0.294434048322244,0.0514267490293108,0.0519937286523485
"3",1996 Q2,1996,2,0.71037203,0.037058812,0.25249532,0.013368581,0.022602679,0.2707181,0.23447274,0.05742472,0.033637267,0.028732991,0.322465593028713,0.0189543065799045,0.0215309737309827,0.301850812931693,0.0528016055073289,0.0503384150352005
"4",1996 Q3,1996,3,0.71555489,0.035071231,0.24917077,0.012535804,0.023647731,0.2848224,0.22515267,0.058528237,0.034016866,0.029053655,0.344318668153413,0.0181942203869281,0.0228625936669896,0.298572944285991,0.0531842845698791,0.0524278216218068
"5",1996 Q4,1996,4,0.71661001,0.035792943,0.24751145,0.012613841,0.021411015,0.28930041,0.21251765,0.053719785,0.033427343,0.027502801,0.352007813821528,0.0185342190383537,0.0204425671667433,0.285247614989771,0.0478112823170438,0.0517212214834953
"6",1997 Q1,1997,1,0.71534139,0.035771001,0.24927408,0.012721422,0.023258843,0.29648128,0.21633501,0.057716221,0.033322152,0.028805692,0.363149166303939,0.0189426401841003,0.0224084964179542,0.294204026164197,0.0518311843564633,0.052561157721937
"7",1997 Q2,1997,2,0.72049892,0.033200819,0.24607758,0.012733149,0.023548443,0.30143484,0.23181927,0.061322667,0.031178625,0.027960597,0.370122131009795,0.019203642024973,0.0225772501771889,0.315836934849765,0.0561044219593841,0.0499345850943368
"8",1997 Q3,1997,3,0.72197837,0.032338649,0.24545473,0.011651653,0.023655344,0.28355247,0.23057051,0.056900267,0.031871021,0.028862273,0.342116021221692,0.0168580949431709,0.0229479696520588,0.303351760331493,0.0519917596035719,0.0489768060216
"9",1997 Q4,1997,4,0.72323018,0.030594872,0.24583688,0.012265968,0.023569126,0.31171221,0.23651604,0.062161125,0.028253747,0.030217199,0.386536150428368,0.0189549363894485,0.0225731708117121,0.327343588801803,0.0573055079483837,0.0463776277890028
"10",1998 Q1,1998,1,0.72408509,0.031651571,0.24507836,0.0124686,0.022968195,0.30190489,0.23555285,0.059340708,0.030678106,0.027928382,0.370887004037616,0.0188323520163414,0.0219095140451003,0.319773879836658,0.0540349286782649,0.049102697738221
"11",1998 Q2,1998,2,0.72666448,0.02886398,0.24414293,0.011306922,0.023771534,0.32456127,0.22345126,0.061819337,0.028358504,0.028820671,0.408692048962059,0.0179327125656223,0.0230486549656945,0.319620049228727,0.0561515343261125,0.0479877684010882
"12",1998 Q3,1998,3,0.72552514,0.030624695,0.24358736,0.012206044,0.025207767,0.30641648,0.22563134,0.065713696,0.029575825,0.028400034,0.377897194660261,0.0185730757634863,0.0246317840205086,0.312504037517026,0.0611249770305262,0.0481357152114054
"13",1998 Q4,1998,4,0.72762758,0.028500266,0.24341574,0.011743478,0.024745069,0.31930172,0.2451071,0.066272393,0.027388129,0.028171504,0.398451683680274,0.0184343827531818,0.0239042979015319,0.343183928542218,0.0616995870990954,0.0459910137600885
"14",1999 Q1,1999,1,0.72823215,0.029150024,0.24364863,0.011448331,0.024626222,0.32184699,0.23227589,0.062786445,0.029146897,0.0272325,0.403837267976757,0.018020076361064,0.0238903343111947,0.328652082925524,0.0571514437177711,0.0490541649593581
"15",1999 Q2,1999,2,0.72504503,0.028484337,0.24615203,0.011591473,0.024794996,0.31391922,0.23580937,0.068403363,0.027304431,0.028457047,0.389250118003753,0.0179571052947951,0.0242025718409775,0.329720097603533,0.06433555024256,0.0453761181364382
"16",1999 Q3,1999,3,0.7245627,0.028997343,0.24617469,0.011429021,0.026410086,0.32419771,0.21774085,0.06529057,0.02965796,0.029404899,0.408364187192871,0.0180310481858315,0.0260504274475979,0.313127735531011,0.0596278114570707,0.0503088654654116
"17",1999 Q4,1999,4,0.72787482,0.02710662,0.24450861,0.010936187,0.023632534,0.32668227,0.24089801,0.064662561,0.027911037,0.029411823,0.411221123779728,0.0174276877513161,0.0228362598757018,0.342782377352392,0.0592862786684692,0.0476639762969139
"18",2000 Q1,2000,1,0.73166943,0.02722379,0.24232227,0.011126582,0.024676375,0.34704173,0.23258154,0.066462845,0.028173378,0.030235412,0.448217530026201,0.0186518673439601,0.0238852917222191,0.347717707666085,0.0599281143583177,0.0507747903930411
"19",2000 Q2,2000,2,0.72707635,0.026960388,0.24559759,0.010965933,0.024327667,0.32318142,0.24575125,0.063772254,0.02739385,0.030239414,0.405230509999286,0.0173323576578913,0.0235343895350266,0.34558501497315,0.0587013356521274,0.0463478783307194
"20",2000 Q3,2000,3,0.72677267,0.026753621,0.24622869,0.011391212,0.02508123,0.31832108,0.24225335,0.064386278,0.026247796,0.028937399,0.397072723420997,0.0178380066406748,0.0243412742555307,0.338373878830702,0.0600265281388013,0.0439014421152633
"21",2000 Q4,2000,4,0.72818154,0.026059791,0.24519011,0.010248909,0.025828747,0.32459661,0.22535732,0.067522004,0.024751848,0.027910365,0.407668106606372,0.0162284323572839,0.0256299185883023,0.32316312800036,0.0635835999886714,0.0422043357573563
"22",2001 Q1,2001,1,0.73000747,0.028869728,0.24220587,0.012041599,0.026405659,0.32511541,0.22197396,0.070716366,0.028053764,0.029037545,0.409052600614045,0.0191218283301035,0.0260023993997865,0.320733841692733,0.0661048114933236,0.0479478281841004
